Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Accession-2	Names	Object ID	Regulation - genes directly activated by gene	Accession-1	Regulation - genes directly inhibited by gene	Accession-1	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	Transcription Units
prpB	b0331	348682	349572	2-methylisocitrate lyase	ECK0329	prpB // yahQ // b0331 // ECK0329	G6196		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	propionate catabolic process, 2-methylcitrate cycle	cytosol	oxo-acid-lyase activity // catalytic activity // metal ion binding // lyase activity // magnesium ion binding // methylisocitrate lyase activity	prpBCDE
omrA	b4444	2976102	2976189	small regulatory RNA OmrA	ECK2833	omrA // psrA12 // rygA // PAIR2a // t59 // sraE // b4444 // ECK2833	G0-8868		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	negative regulation of single-species biofilm formation // negative regulation of bacterial-type flagellum-dependent cell motility // sRNA-mediated post-transcriptional gene silencing		mRNA binding // protein binding	omrA
murG	b0090	99644	100711	N-acetylglucosaminyl transferase	ECK0091	murG // b0090 // ECK0091	EG10623		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	carbohydrate derivative biosynthetic process // carbohydrate metabolic process // cell wall organization // lipid glycosylation // cell division // regulation of cell shape // cell cycle // peptidoglycan biosynthetic process	membrane // plasma membrane	hexosyltransferase activity // glycosyltransferase activity // transferase activity // UDP-N-acetyl-D-glucosamine:N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine-diphosphoundecaprenol 4-beta-N-acetylglucosaminlytransferase activity // protein binding // undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity	ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // rsmH-ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // mraZW-ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
ubiT	b3157	3300752	3301276	anaerobic ubiquinone biosynthesis accessory factor UbiT	ECK3145	ubiT // yhbT // b3157 // ECK3145	G7651		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	ubiquinone biosynthetic process // ubiquinone biosynthetic process from chorismate	cytosol		ubiT-yhbS // ubiT-yhbS
ydgU	b4601	1671777	1671860	uncharacterized protein YdgU	ECK4410	ydgU // b4601 // ECK4410	G0-10593		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		plasma membrane		
gyrA	b2231	2336793	2339420	DNA gyrase subunit A	ECK2223	gyrA // hisW // nalA // nfxA // norA // parD // b2231 // ECK2223	EG10423		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	chromosome organization // DNA metabolic process // response to xenobiotic stimulus // negative regulation of DNA-templated DNA replication // DNA-templated DNA replication // DNA topological change // response to antibiotic // DNA-templated transcription	membrane // DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex // chromosome // cytoplasm // cytosol	DNA negative supercoiling activity // isomerase activity // DNA topoisomerase activity // identical protein binding // protein binding // nucleotide binding // ATP-dependent activity, acting on DNA // ATP binding // DNA binding // DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity	gyrA
xapB	b2406	2522729	2523985	xanthosine:H+ symporter XapB	ECK2400	xapB // b2406 // ECK2400	EG13159		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	organic substance transport // transmembrane transport // uridine transport // cytidine transport // nucleoside transmembrane transport // xanthosine transport // nucleoside transport // nucleobase-containing small molecule metabolic process	membrane // plasma membrane	symporter activity // transmembrane transporter activity // uridine transmembrane transporter activity // cytidine transmembrane transporter activity // nucleoside transmembrane transporter activity // xanthosine transmembrane transporter activity	xapAB // xapB // xapB // xapB // xapAB
yjfF	b4231	4453583	4454578	galactofuranose ABC transporter putative membrane subunit YjtF	ECK4226	yjfF // b4231 // ECK4226	EG12439		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	organic substance transport // hexose import across plasma membrane // transmembrane transport	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing // membrane // ATP-binding cassette (ABC) transporter complex // plasma membrane	transmembrane transporter activity // primary active transmembrane transporter activity	ytfQRT-yjfF
yggN	b2958	3100904	3101623	DUF2884 domain-containing protein YggN	ECK2953	yggN // ecfF // b2958 // ECK2953	EG12705		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	single-species biofilm formation			yggN // yggN // yggN
ispD	b2747	2871780	2872490	2-<i>C</i>-methyl-D-erythritol 4-phosphate cytidylyltransferase	ECK2742	ispD // ygbP // b2747 // ECK2742	G7423		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	terpenoid biosynthetic process // isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway // isoprenoid biosynthetic process	cytosol	cytidylyltransferase activity // nucleotidyltransferase activity // transferase activity // catalytic activity // identical protein binding // magnesium ion binding // 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity	ispDF
yfjI	b2625	2758985	2760394	CP4-57 prophage; DUF3987 domain-containing protein YfjI	ECK2621	yfjI // b2625 // ECK2621	G7360		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		cytosol		yfjI
gpmM	b3612	3785260	3786804	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	ECK3602	gpmM // gpmC // pgmI // gpmI // yibO // b3612 // ECK3602	EG12296		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	glucose catabolic process // glycolytic process // response to oxidative stress	cytoplasm // cytosol	metal ion binding // isomerase activity // phosphoglycerate mutase activity // catalytic activity // 2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity // manganese ion binding	gpmM-envC-yibQ // gpmM-envC-yibQ
rprA	b4431	1770372	1770477	small regulatory RNA RprA	ECK1686	rprA // psrA5 // IS083 // b4431 // ECK1686	G0-8863		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	negative regulation of bacterial-type flagellum-dependent cell motility // stress response to acid chemical // sRNA-mediated post-transcriptional gene silencing // positive regulation of translation, ncRNA-mediated		transcription antitermination factor activity, RNA binding // protein binding // mRNA binding // mRNA 5'-UTR binding	rprA
mepK	b0926	983075	983623	peptidoglycan L,D-endopeptidase	ECK0917	mepK // ycbK // b0926 // ECK0917	G6474		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	peptidoglycan turnover	outer membrane-bounded periplasmic space	endopeptidase activity // metalloendopeptidase activity	mepK-gloC
ubiC	b4039	4252506	4253003	chorismate lyase	ECK4031	ubiC // b4039 // ECK4031	EG11369		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	pyruvate biosynthetic process // ubiquinone biosynthetic process	cytoplasm // cytosol	protein binding // lyase activity // chorismate lyase activity	ubiCA
yiaV	b3586	3752963	3754099	putative membrane fusion protein YiaV	ECK3575	yiaV // b3586 // ECK3575	EG12290		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	transmembrane transport	membrane // plasma membrane		yiaWV
rdgC	b0393	409108	410019	nucleoid-associated protein RdgC	ECK0388	rdgC // yaiD // b0393 // ECK0388	EG12158		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	DNA recombination // regulation of DNA recombination	nucleoid // cytoplasm // cytosol // bacterial nucleoid	double-stranded DNA binding // single-stranded DNA binding	rdgC
setB	b2170	2263863	2265044	sugar exporter SetB	ECK2163	setB // yeiO // b2170 // ECK2163	EG12034		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	organic substance transport // glucose transmembrane transport // proton transmembrane transport // cellular response to glucose-phosphate stress // carbohydrate transport // transmembrane transport // lactose transport // chromosome segregation // carbohydrate transmembrane transport	membrane // plasma membrane	transmembrane transporter activity // carbohydrate:proton symporter activity	setB
yhjV	b3539	3700563	3701834	putative transporter YhjV	ECK3526	yhjV // b3539 // ECK3526	EG12266		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	amino acid transmembrane transport // response to radiation	membrane // plasma membrane		yhjV
yohC	b2135	2225044	2225631	putative inner membrane protein	ECK2128	yohC // b2135 // ECK2128	EG12016		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	DNA damage response	membrane // plasma membrane		yohC
ispH	b0029	26277	27227	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	ECK0030	ispH // yaaE // lytB // b0029 // ECK0030	EG11081		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	terpenoid biosynthetic process // dimethylallyl diphosphate biosynthetic process // isoprenoid biosynthetic process // isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway	cytosol	4 iron, 4 sulfur cluster binding // oxidoreductase activity // 4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity // iron-sulfur cluster binding // metal ion binding // 3 iron, 4 sulfur cluster binding // hydroxymethylbutenyl pyrophosphate reductase activity	ileS-lspA-fkpB-ispH // ileS-lspA-fkpB-ispH // ileS-lspA-fkpB-ispH // lsp-fkpB-ispH // ribF-ileS-lspA-fkpB-ispH
yfdO	b2358	2472878	2473246	CPS-53 (KpLE1) prophage; protein YdfO	ECK2352	yfdO // oweS // b2358 // ECK2352	G7227		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	response to oxidative stress	cytosol		yfdONMLK
yihV	b3883	4073739	4074635	6-deoxy-6-sulfofructose kinase	ECK3876	yihV // squV // b3883 // ECK3876	EG11848		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	phosphorylation // 6-sulfoquinovose(1-) catabolic process to glycerone phosphate and 3-sulfolactaldehyde // 6-sulfoquinovose(1-) catabolic process // carbohydrate phosphorylation	cytosol	transferase activity, transferring phosphorus-containing groups // ATP binding // nucleotide binding // transferase activity // kinase activity // 6-deoxy-6-sulfofructose kinase activity	yihV-csqR
rpoE	b2573	2709437	2710012	RNA polymerase sigma factor RpoE	ECK2571	rpoE // sigE // b2573 // ECK2571	EG11897	yaiW // sbmA // prfB // recJ // opgH // opgG // ydhK // ydhJ // ydhI // cyaR // yicI // yicJ // mzrA // yqjA // bamE // plsB // lptA // dnaE // rnhB // lpxB // sixA // gspB // gspA // yfgD // bepA // tufA // fusA // recR // ybaB // rclC // rclB // rclA // apaH // apaG // rsmA // phoQ // wza // wzc // wzb // dsbC // uspD // yiiS // rflP // ibaG // lon // clpX // bamC // yfeX // yfeY // matA // fkpA // rapZ // ptsN // hpf // rpoN // lptB // rybB // mscM // psd // yidQ // lpxA // fabZ // lpxD // skp // ybfG // ytfJ // narV // narW // bhsA // degP // yghF // ftnB // pdxA // surA // lptD // micL // yggN // dolP // rnlB // hcr // hcp // rseP // bamA // asflhD // hokE // yfeS // yfeK // lgoR // rpoH // malQ // yeaY // insK // greA // lhr // sgbE // sgbU // sgbH // lyxK // yiaO // yiaN // yiaM // yiaL // yiaK // rpoD // waaL // waaC // waaF // rfaD // bamD // ahpF // yhjJ // lpxP // fadM // bacA // der // bamB // cca // ygiM // stfZ // micA // rutR // eptB // rseC // rseB // rseA // rpoE // rzpD // rrrD // essD // yoaC // yieF // yieE	b0378 // b0377 // b2891 // b2892 // b1049 // b1048 // b1645 // b1644 // b1643 // b4438 // b3656 // b3657 // b3096 // b3095 // b2617 // b4041 // b3200 // b0184 // b0183 // b0182 // b2340 // b3322 // b3323 // b2495 // b2494 // b3339 // b3340 // b0472 // b0471 // b0301 // b0303 // b0304 // b0049 // b0050 // b0051 // b1129 // b2062 // b2060 // b2061 // b2893 // b3923 // b3922 // b1707 // b3190 // b0439 // b0438 // b2477 // b2431 // b2432 // b0294 // b3347 // b3205 // b3204 // b3203 // b3202 // b3201 // b4417 // b4159 // b4160 // b3688 // b0181 // b0180 // b0179 // b0178 // b0691 // b4216 // b1465 // b1466 // b1112 // b0161 // b2970 // b1902 // b0052 // b0053 // b0054 // b4717 // b2958 // b3150 // b2631 // b0872 // b0873 // b0176 // b0177 // b4839 // b4415 // b2420 // b2419 // b4357 // b3461 // b3416 // b1806 // b3558 // b3181 // b1653 // b3583 // b3582 // b3581 // b3580 // b3579 // b3578 // b3577 // b3576 // b3575 // b3067 // b3622 // b3621 // b3620 // b3619 // b2595 // b0606 // b3527 // b2378 // b0443 // b3057 // b2511 // b2512 // b3056 // b3055 // b4840 // b4442 // b1013 // b3546 // b2570 // b2571 // b2572 // b2573 // b0556 // b0555 // b0554 // b1810 // b3713 // b3712		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	DNA-templated transcription // negative regulation of DNA-templated transcription // cellular response to cell envelope stress // submerged biofilm formation // regulation of DNA-templated transcription initiation // DNA-templated transcription initiation // response to osmotic stress // regulation of DNA-templated transcription // response to temperature stimulus	plasma membrane // sigma factor antagonist complex // cytosolic DNA-directed RNA polymerase complex // cytoplasm	DNA-binding transcription factor activity // protein binding // DNA binding // sigma factor activity	rseD-rpoE-rseABC // rpoE-rseABC // rpoE-rseABC // rseD-rpoE-rseABC // rseD-rpoE-rseABC // rpoE-rseABC // rseD-rpoE-rseABC // rpoE-rseABC
murD	b0088	97087	98403	UDP-<i>N</i>-acetylmuramoyl-L-alanine&mdash;D-glutamate ligase	ECK0089	murD // b0088 // ECK0089	EG10620		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	cell wall organization // biosynthetic process // cell division // regulation of cell shape // cell cycle // peptidoglycan biosynthetic process	cytoplasm // cytosol	acid-amino acid ligase activity // protein binding // identical protein binding // ligase activity // ATP binding // nucleotide binding // UDP-N-acetylmuramoylalanine-D-glutamate ligase activity	ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // rsmH-ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // mraZW-ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
